Image,Date,Assymetry,Border_def,Border_frc,Colour,Dimension
Images/FirstImages/assymetrytest.png,20/09/2021 07:47:32,804,0,0.9490589561750855,0.0,51387
Images/FirstImages/fractaltest.png,20/09/2021 07:48:19,40974,573,1.333388406016725,305628.1,92135
Images/FirstImages/HealthyMole.jpg,20/09/2021 07:48:42,2244,1795,0.9677110622952196,80062.86,12738
Images/FirstImages/ISIC_0024310.png,20/09/2021 07:48:55,39966,22572,1.1607139736998322,297326.62,39920
Images/FirstImages/ISIC_0024315.png,20/09/2021 07:49:42,63135,20295,1.072943776919267,220056.23,26883
Images/FirstImages/ISIC_0024351.png,20/09/2021 07:50:31,23989,47952,1.0905039419938436,545511.7,91595
Images/FirstImages/ISIC_0024449.png,20/09/2021 07:51:13,77974,57484,1.2421202193228555,829437.75,111619
Images/FirstImages/ISIC_0024482.png,20/09/2021 07:52:02,75453,49761,1.16332106189716,582158.4,93643
Images/FirstImages/ISIC_0024496.png,20/09/2021 07:52:53,12842,12582,0.9816803357790093,330918.66,42874
Images/FirstImages/ISIC_0024545.png,20/09/2021 07:53:42,91753,23633,1.1536742450816582,669732.6,88390
Images/FirstImages/ISIC_0024552.png,20/09/2021 07:54:24,37672,44533,1.124495374577525,563871.44,77931
Images/FirstImages/ISIC_0024630.png,20/09/2021 07:55:07,85669,56965,1.2220364809162916,577352.94,88791
Images/FirstImages/ISIC_0024640.png,20/09/2021 07:55:51,44177,13069,1.072697988714225,1662116.1,133967
Images/FirstImages/ISIC_0024688.png,20/09/2021 07:56:28,29522,8700,1.0049335718729022,462252.16,56111
Images/FirstImages/ISIC_0024701.png,20/09/2021 07:57:26,55055,34238,1.1163385615111667,341147.25,43965
Images/FirstImages/ISIC_0024729.png,20/09/2021 07:58:25,11637,11992,0.9678380033530644,168357.66,21509
Images/FirstImages/ISIC_0024792.png,20/09/2021 07:59:25,24371,29621,1.0406612367589314,463022.06,68384
Images/FirstImages/ISIC_0024805.png,20/09/2021 08:00:19,14374,18437,1.025444099782834,293691.2,42959
Images/FirstImages/ISIC_0024930.png,20/09/2021 08:01:16,15155,28912,1.0761741119544344,489727.66,67821
Images/FirstImages/ISIC_0024940.png,20/09/2021 08:02:09,89840,26299,1.1207717334317264,457333.94,71319
Images/FirstImages/ISIC_0024958.png,20/09/2021 08:03:06,44742,71682,1.1478174924049902,254166.42,46266
Images/FirstImages/ISIC_0024961.png,20/09/2021 08:04:02,96430,80443,1.2777414099738256,611838.44,85985
Images/FirstImages/ISIC_0025035.png,20/09/2021 08:04:58,7170,7739,0.9652894955508003,172737.19,19420
Images/FirstImages/ISIC_0025313.png,20/09/2021 08:05:52,22974,6575,1.014553562346156,593077.6,52712
Images/FirstImages/ISIC_0026120.png,20/09/2021 08:06:40,20511,13209,1.0253626747313296,511139.88,77367
Images/FirstImages/line.png,20/09/2021 08:07:26,3336,0,1.0749447482928645,0.0,2113
Images/FirstImages/Sierpinski_triangle.png,20/09/2021 08:08:04,414526,0,1.0000000000000002,1532075.8,524800
